จังหวัด,โรคสมองเสื่อม,ติดแอลกอฮอล์,ติดยาบ้า (Amphetamine),ติดสารเสพติดอื่นๆ,โรคจิตเภท,โรคจิตอื่นๆ,โรคอารมณ์สองขั้ว,โรคชึมเศร้า,โรควิตกกังวล,ความบกพร่องทางสติปัญญา,ความบกพร่องทางการเรียนรู้,โรคออทิสติก,โรคสมาธิสั้น,พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง),ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป),ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี),โรคทางจิตเวชอื่นๆ,โรคลมชัก,รวม,ปี,pro_code
ปทุมธานี,404,481,526,486,2767,661,128,3212,2342,343,204,355,652,156,4,15,3566,1312,16302,2564,13
พระนครศรีอยุธยา,344,878,1725,678,2259,963,197,3381,2538,297,159,281,670,263,2,12,4288,1591,18935,2564,14
อ่างทอง,310,309,611,251,959,208,1442,2253,928,204,95,233,338,77,0,6,1224,567,9448,2564,15
ลพบุรี,606,1372,1321,958,2030,668,197,3767,2834,330,456,311,1008,231,2,12,3832,1597,19935,2564,16
สิงห์บุรี,518,281,417,202,701,284,150,1588,1223,97,57,67,287,68,0,5,958,468,6903,2564,17
ชัยนาท,477,454,785,208,1109,426,78,2548,2676,133,37,59,213,124,1,5,1118,859,10451,2564,18
สระบุรี,443,790,637,368,2510,475,127,3001,2214,386,570,292,1121,193,1,7,4474,1713,17609,2564,19
ชลบุรี,710,1512,2436,869,3360,1561,511,4037,4217,580,234,529,937,474,5,86,5614,3762,27672,2564,20
ระยอง,418,683,1440,1329,1494,1031,316,2520,3799,152,96,186,593,349,4,12,2633,2157,17055,2564,21
จันทบุรี,441,946,656,805,1810,606,448,2210,2179,333,363,183,772,364,12,11,2677,1806,14816,2564,22
ตราด,161,569,675,471,751,263,80,1292,799,112,272,68,251,97,1,4,805,743,6671,2564,23
ฉะเชิงเทรา,460,1107,1304,316,1875,769,330,2756,1638,259,187,215,947,235,5,10,3358,1645,15771,2564,24
ปราจีนบุรี,284,687,792,423,1324,330,435,1167,1182,136,66,101,348,113,0,11,2100,1086,9499,2564,25
นครนายก,216,386,1043,520,886,128,291,818,793,111,53,62,165,47,2,9,816,563,6346,2564,26
สระแก้ว,301,1336,1753,702,1978,774,136,1760,2462,322,131,204,428,199,1,10,2332,1159,14829,2564,27
นครราชสีมา,2288,6357,3850,2720,8723,3739,308,12441,9820,1257,422,713,2364,745,4,43,10875,6471,66669,2564,30
บุรีรัมย์,1073,5219,3971,2946,6580,2302,260,6864,4355,793,443,279,1957,432,5,26,6847,4613,44352,2564,31
สุรินทร์,566,4601,2125,1055,5332,2119,667,5097,4615,382,281,246,1479,278,0,36,5511,3289,34390,2564,32
ศรีสะเกษ,907,6412,3819,2872,6716,4205,278,8784,8429,696,229,327,2094,500,3,29,6227,3870,52527,2564,33
อุบลราชธานี,999,6154,6361,6320,8082,3108,109,9792,10764,1073,297,599,3043,241,5,57,9190,5993,66194,2564,34
ยโสธร,207,1058,1302,224,2421,1103,214,2284,1770,310,65,100,871,64,2,9,2105,1351,14109,2564,35
ชัยภูมิ,769,3227,3754,1768,4261,2184,347,5569,4480,333,251,233,963,296,2,42,4965,2858,33444,2564,36
อำนาจเจริญ,230,1048,1014,118,1686,705,167,1877,1712,182,107,98,623,142,0,5,1702,950,11416,2564,37
บึงกาฬ,139,736,1935,236,1622,588,431,1283,797,96,30,96,237,166,1,129,1313,855,9835,2564,38
หนองบัวลำภู,261,1192,978,243,2166,668,529,3181,1506,173,56,89,215,101,4,19,1384,1105,12765,2564,39
ขอนแก่น,1460,4539,5184,3653,6775,2691,632,7832,9407,733,529,622,1851,541,9,126,9455,4468,56039,2564,40
อุดรธานี,738,2776,4032,1840,5748,1529,214,5076,4253,569,155,351,540,242,3,29,4760,3674,32855,2564,41
เลย,463,1602,2189,81,2351,967,232,3323,4522,351,153,158,597,317,3,21,2574,1613,19904,2564,42
หนองคาย,217,852,1290,146,1705,710,135,1731,1192,129,78,136,277,106,3,9,1960,1174,10676,2564,43
มหาสารคาม,650,4088,2693,4110,3050,1879,404,3478,2801,262,110,221,605,146,33,42,3125,2410,27697,2564,44
ร้อยเอ็ด,442,3960,3011,2655,5620,2175,283,3909,3922,375,164,368,1505,244,2,61,5214,2706,33910,2564,45
กาฬสินธุ์,419,1616,3106,1717,4306,3225,257,3377,5005,286,164,193,674,149,5,39,3011,2209,27549,2564,46
สกลนคร,462,2517,2480,1442,5017,1537,208,5145,2546,395,236,218,688,261,0,417,4151,2594,27720,2564,47
นครพนม,350,1438,1359,156,3716,1141,1231,2265,2840,381,148,409,1014,160,1,613,3605,1707,20827,2564,48
มุกดาหาร,174,863,2431,180,1898,983,493,1988,1116,194,387,150,691,66,6,30,1761,918,13411,2564,49
เชียงใหม่,1338,5499,5109,2677,5179,1720,136,12609,8936,1099,1893,1327,4431,501,13,61,14761,5008,67289,2564,50
ลำพูน,547,1581,1779,1407,1500,391,62,4176,2468,290,819,199,966,185,0,27,3592,1547,19989,2564,51
ลำปาง,686,2056,2334,290,2373,1115,524,4202,5385,704,1316,458,2432,154,3,11,7271,2578,31314,2564,52
อุตรดิตถ์,164,521,735,182,869,260,205,1783,732,138,184,75,509,83,0,3,1721,727,8164,2564,53
แพร่,310,1084,1633,191,1302,368,173,2302,2135,113,218,182,286,137,0,13,1384,1017,11831,2564,54
น่าน,239,1482,1726,1514,1182,473,687,2361,3007,319,97,205,1498,167,1,27,4631,1542,19616,2564,55
พะเยา,391,1673,1801,938,1675,666,603,3661,2597,258,261,296,589,215,1,25,2880,1609,18530,2564,56
เชียงราย,660,3263,2972,1201,3961,1037,401,7632,5212,486,414,418,1747,440,4,53,5814,3863,35715,2564,57
แม่ฮ่องสอน,101,780,175,60,694,220,221,2094,1614,95,87,101,298,117,0,10,1423,786,8090,2564,58
นครสวรรค์,911,1571,1214,686,3057,1623,207,5554,5069,400,160,292,988,422,3,15,3205,2608,25377,2564,60
อุทัยธานี,346,984,764,105,856,509,219,1612,1392,231,28,59,179,128,1,4,819,887,8236,2564,61
กำแพงเพชร,290,2136,1003,1584,1743,656,192,2585,1795,158,225,112,520,216,1,6,1963,1709,15185,2564,62
ตาก,313,1041,561,325,1693,408,397,2482,1770,125,367,190,635,156,3,16,2531,1443,13013,2564,63
สุโขทัย,512,1058,1736,115,1842,467,551,3157,1744,222,139,124,269,172,1,12,2086,1469,14207,2564,64
พิษณุโลก,940,1673,1713,520,2468,617,271,4647,2907,522,447,369,1462,274,2,10,4508,2242,23350,2564,65
พิจิตร,679,832,628,229,1468,828,507,2520,1947,170,288,112,455,145,1,5,2101,1092,12915,2564,66
เพชรบูรณ์,549,1657,1901,880,3286,1195,287,3921,2342,402,397,230,713,217,0,6,3708,2128,21691,2564,67
ราชบุรี,801,864,966,667,2296,961,1105,2935,2782,484,553,396,1333,275,8,42,7277,2132,23745,2564,70
กาญจนบุรี,422,960,1061,182,1893,534,251,2641,1764,235,188,203,655,391,1,4,3005,1931,14390,2564,71
สุพรรณบุรี,736,995,1458,122,2287,691,97,3971,2399,379,258,229,893,354,5,19,3324,2270,18217,2564,72
นครปฐม,507,426,477,232,1974,635,1380,2740,2163,289,247,284,896,217,7,33,3322,1431,15829,2564,73
สมุทรสาคร,367,363,262,246,1060,399,240,1974,1431,280,383,272,1043,93,3,46,3429,729,11891,2564,74
สมุทรสงคราม,110,56,114,17,502,119,240,497,458,40,35,86,248,41,2,4,725,333,3294,2564,75
เพชรบุรี,232,235,1005,353,1318,262,93,1935,977,160,127,195,777,165,2,5,2790,1073,10631,2564,76
ประจวบคีรีขันธ์,376,511,1052,870,1775,429,304,2492,1570,409,231,320,840,185,2,7,3254,1427,14627,2564,77
นครศรีธรรมราช,1035,1024,3021,754,5860,3049,995,5379,8923,808,714,487,1951,504,4,270,8799,4178,43577,2564,80
กระบี่,173,188,661,508,1670,725,251,1554,1562,281,154,242,577,93,1,10,2511,1122,11161,2564,81
พังงา,250,324,650,420,1180,353,170,1775,1401,235,352,99,578,74,18,173,2025,774,10077,2564,82
